probleme,execution,sequentielle,para2,para4,para8,para16
pb3,34,0.329782,0.165256,0.087386,0.085708,0.084570
pb3,35,0.329483,0.165967,0.087856,0.082735,0.089568
pb3,36,0.330733,0.168960,0.085889,0.087890,0.088172
pb3,37,0.351636,0.184773,0.093280,0.078531,0.082258
pb3,38,0.344429,0.184227,0.093900,0.081338,0.085877
pb3,39,0.348089,0.184609,0.093718,0.078518,0.079100
pb3,40,0.351071,0.184315,0.093549,0.078835,0.089077
pb3,41,0.347397,0.184036,0.093281,0.081279,0.077084
pb3,42,0.345669,0.183118,0.093573,0.080720,0.080769
pb3,43,0.327119,0.165417,0.093207,0.084755,0.085604
pb3,44,0.351711,0.183440,0.093877,0.081339,0.083754
pb3,45,0.336424,0.158430,0.080065,0.080841,0.085291
pb3,46,0.330141,0.168408,0.085889,0.087660,0.086007
pb3,47,0.343882,0.187116,0.093615,0.081595,0.079265
pb3,48,0.311186,0.158357,0.081104,0.078977,0.082810
pb3,49,0.327692,0.159838,0.081656,0.084074,0.087246
pb3,50,0.319406,0.159508,0.082037,0.085013,0.080482
pb3,51,0.311673,0.159757,0.085333,0.084255,0.091146
pb3,52,0.374192,0.188349,0.098643,0.087948,0.088789
pb3,53,0.369112,0.211607,0.100392,0.090623,0.086564
pb3,54,0.371320,0.185973,0.093601,0.079138,0.081184
pb3,55,0.347420,0.178720,0.093013,0.081332,0.081519
pb3,56,0.318470,0.165370,0.084819,0.085866,0.081583
pb3,57,0.328275,0.158591,0.082667,0.085177,0.079831
pb3,58,0.311890,0.158401,0.080114,0.079188,0.084239
pb3,59,0.316428,0.185157,0.080799,0.079094,0.083344
pb3,60,0.346223,0.181287,0.093566,0.081264,0.077202
pb3,61,0.327207,0.165595,0.084696,0.087776,0.085149
pb3,62,0.332883,0.158089,0.080266,0.080398,0.088782
pb3,63,0.329115,0.162624,0.085197,0.087810,0.084211
pb3,64,0.331307,0.162214,0.082452,0.086278,0.080038
pb3,65,0.327386,0.167673,0.086879,0.088278,0.081498
pb3,66,0.313271,0.158202,0.080115,0.084178,0.081605
pb3,67,0.328368,0.162469,0.083576,0.087522,0.086490
pb3,68,0.351519,0.184159,0.093233,0.079620,0.079715
pb3,69,0.311363,0.158623,0.080318,0.080663,0.090987
pb3,70,0.348524,0.183220,0.094119,0.079012,0.081321
pb3,71,0.345165,0.183021,0.093100,0.078760,0.078475
pb3,72,0.312010,0.158159,0.081007,0.082606,0.079786
pb3,73,0.346657,0.182024,0.093064,0.080343,0.088024
pb3,74,0.349220,0.183076,0.093423,0.078989,0.079640
pb3,75,0.311207,0.158157,0.080179,0.081434,0.080266
pb3,76,0.313404,0.158005,0.079930,0.077750,0.088066
pb3,77,0.345249,0.183559,0.093383,0.078816,0.076490
pb3,78,0.327280,0.162226,0.085057,0.087664,0.084192
pb3,79,0.339652,0.202714,0.093560,0.079199,0.078750
pb3,80,0.346529,0.183543,0.093487,0.080587,0.080275
pb3,81,0.311317,0.158598,0.083321,0.081795,0.083620
pb3,82,0.327901,0.167939,0.093143,0.087793,0.083537
pb3,83,0.314308,0.164901,0.085918,0.082738,0.085256
pb3,84,0.328553,0.165535,0.091637,0.087603,0.081889
pb3,85,0.311421,0.158225,0.080578,0.079438,0.079596
pb3,86,0.346334,0.183496,0.093837,0.079155,0.077756
pb3,87,0.312141,0.177090,0.080567,0.084753,0.085978
pb3,88,0.328271,0.161750,0.081758,0.086117,0.081522
pb3,89,0.328677,0.162912,0.084266,0.087467,0.082886
pb3,90,0.312855,0.158168,0.080300,0.080265,0.084590
pb3,91,0.328844,0.191740,0.085952,0.087986,0.085822
pb3,92,0.327555,0.162215,0.081965,0.086270,0.084297
pb3,93,0.331111,0.158494,0.081615,0.083103,0.085420
pb3,94,0.328156,0.158012,0.081650,0.082493,0.080413
pb3,95,0.315247,0.159622,0.080289,0.080611,0.083779
pb3,96,0.314183,0.158215,0.080409,0.079608,0.089468
pb3,97,0.338721,0.158571,0.080428,0.085018,0.085846
pb3,98,0.334262,0.179725,0.083727,0.084617,0.085230
pb3,99,0.345939,0.183050,0.094141,0.081728,0.087060
pb3,100,0.340176,0.164601,0.084431,0.089326,0.082569
